index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
1,13:22:30,-20.0000,0.0000,3.9333,0.0000,0.0000,2106.0000,1500.0000
9,13:22:30.010000,300.0000,0.0000,0.0000,16.0000,0.0095,2099.0000,1500.0000
17,13:22:30.021000,-106.0000,0.0000,0.0000,-22.0000,0.1240,2104.0000,1500.0000
25,13:22:30.031000,-180.0000,0.0000,0.0000,-27.0000,0.0858,2126.0000,1500.0000
33,13:22:30.041000,42.0000,0.0000,0.0000,-20.0000,-0.0381,2097.0000,1500.0000
41,13:22:30.051000,296.0000,0.0000,0.0000,-12.0000,0.0572,2104.0000,1500.0000
49,13:22:30.061000,-67.0000,0.0000,3.9333,-12.0000,0.0000,2103.0000,1500.0000
57,13:22:30.071000,230.0000,0.0000,0.0000,-10.0000,0.1144,2127.0000,1500.0000
65,13:22:30.081000,35.0000,0.0000,3.9333,-24.0000,-0.0572,2101.0000,1500.0000
73,13:22:30.091000,19.0000,0.0000,0.0000,-27.0000,-0.0954,2110.0000,1500.0000
81,13:22:30.101000,324.0000,0.0000,0.0000,-22.0000,-0.4768,2128.0000,1500.0000
89,13:22:30.111000,39.0000,0.0000,0.0000,-20.0000,-0.3910,2126.0000,1500.0000
97,13:22:30.121000,78.0000,0.0000,3.9333,-31.0000,-0.7342,2099.0000,1500.0000
105,13:22:30.131000,93.0000,0.0000,3.9333,-31.0000,-1.0680,2105.0000,1500.0000
113,13:22:30.141000,218.0000,0.0000,3.9333,-27.0000,-1.2301,2092.0000,1500.0000
121,13:22:30.151000,164.0000,0.0000,0.0000,-15.0000,-1.4780,2101.0000,1500.0000
129,13:22:30.161000,187.0000,0.0000,0.0000,-58.0000,-1.4494,2094.0000,1500.0000
137,13:22:30.171000,378.0000,0.0000,3.9333,-43.0000,-1.7164,2110.0000,1500.0000
145,13:22:30.181000,285.0000,0.0000,3.9333,-36.0000,-1.9452,2108.0000,1500.0000
153,13:22:30.191000,226.0000,0.0000,3.9333,-39.0000,-2.1169,2114.0000,1500.0000
161,13:22:30.201000,109.0000,0.0000,3.9333,-31.0000,-2.1073,2100.0000,1500.0000
169,13:22:30.211000,324.0000,0.0000,3.9333,-39.0000,-2.5078,2098.0000,1500.0000
177,13:22:30.221000,289.0000,0.0000,3.9333,-24.0000,-2.6604,2099.0000,1500.0000
