index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
200001,17:26:44,378,0,0,19,0.03814,6900,925
200009,17:26:44.010000,328,0,0,-3,-0.05721,6847,925
200017,17:26:44.021000,257,0,0,-3,-0.04768,7240,925
200025,17:26:44.031000,-270,0,0,2,0.03814,6867,925
200033,17:26:44.041000,386,0,1.96665,-22,0.04768,6874,925
200041,17:26:44.051000,234,0,0,-17,0.08582,6923,925
200049,17:26:44.061000,187,0,0,-15,-0.20024,6840,925
200057,17:26:44.071000,460,0,1.96665,-15,-0.09535,7223,925
200065,17:26:44.081000,125,0,0,-24,-0.00954,6856,925
200073,17:26:44.091000,203,0,1.96665,-20,-0.21932,6893,925
200081,17:26:44.101000,410,0,1.96665,-31,-0.58166,6943,925
200089,17:26:44.111000,46,0,1.96665,-34,-0.8868,6858,925
200097,17:26:44.121000,175,0,1.96665,-10,-1.07751,7213,925
200105,17:26:44.131000,214,0,1.96665,-31,-1.19193,6849,925
200113,17:26:44.141000,164,0,3.93329,-36,-1.3445,6875,925
200121,17:26:44.151000,152,0,3.93329,-34,-1.5066,6935,925
200129,17:26:44.161000,320,0,1.96665,-31,-1.39218,6839,925
200137,17:26:44.171000,140,0,3.93329,-34,-1.79267,7210,925
200145,17:26:44.181000,417,0,1.96665,-10,-1.83081,6851,925
200153,17:26:44.191000,-200,0,1.96665,-12,-2.05013,6869,925
200161,17:26:44.201000,320,0,3.93329,-41,-2.14548,6925,925
200169,17:26:44.211000,214,0,3.93329,-27,-2.29805,6844,925
200177,17:26:44.221000,62,0,3.93329,-36,-2.3934,7215,925
200185,17:26:44.231000,394,0,3.93329,-36,-2.75575,6858,925
200193,17:26:44.241000,-16,0,3.93329,-53,-3.17531,6862,925
200201,17:26:44.251000,410,0,3.93329,-36,-3.56627,6928,925
200209,17:26:44.261000,597,0,3.93329,-27,-3.46138,6838,925
200217,17:26:44.271000,355,0,3.93329,-29,-3.49952,7199,925
200225,17:26:44.281000,328,0,5.89994,-29,-3.53766,6841,925
200233,17:26:44.291000,425,0,5.89994,-41,-3.63301,6868,925
200241,17:26:44.301000,289,0,5.89994,-53,-3.78558,6927,925
200249,17:26:44.311000,410,0,7.86659,-46,-4.38632,6841,925
200257,17:26:44.321000,296,0,7.86659,-20,-4.9203,7205,925
200265,17:26:44.331000,480,0,7.86659,-41,-5.11101,6848,925
200273,17:26:44.341000,503,0,5.89994,-43,-5.03473,6863,925
200281,17:26:44.351000,488,0,7.86659,-39,-4.83448,6953,925
200289,17:26:44.361000,687,0,7.86659,-46,-4.81541,6838,925
200297,17:26:44.371000,738,0,7.86659,-31,-5.26358,7226,925
200305,17:26:44.381000,593,0,7.86659,-55,-5.70221,6863,925
200313,17:26:44.391000,613,0,7.86659,-58,-5.4829,6869,925
200321,17:26:44.401000,726,0,9.83323,-67,-5.53057,6918,925
200329,17:26:44.411000,500,0,9.83323,-43,-5.6736,6835,925
200337,17:26:44.421000,1445,0,9.83323,-58,-6.42691,7198,925
200345,17:26:44.431000,472,0,9.83323,-24,-6.99904,6854,925
200353,17:26:44.441000,914,0,9.83323,-22,-6.75111,6862,925
200361,17:26:44.451000,601,0,9.83323,-51,-6.75111,6916,925
200369,17:26:44.461000,550,0,9.83323,-41,-7.01811,6845,925
200377,17:26:44.471000,605,0,9.83323,-46,-7.37092,7194,925
200385,17:26:44.481000,539,0,11.79988,-51,-7.25649,6848,925
200393,17:26:44.491000,949,0,11.79988,-48,-7.36138,6877,925
200401,17:26:44.501000,402,0,11.79988,-60,-7.95258,6926,925
200409,17:26:44.511000,347,0,9.83323,-34,-8.43889,6836,925
200417,17:26:44.521000,1105,0,11.79988,-60,-8.12422,7209,925
200425,17:26:44.531000,632,0,11.79988,-39,-8.08608,6893,925
200433,17:26:44.541000,609,0,13.76653,-36,-8.41982,6874,925
200441,17:26:44.551000,750,0,11.79988,-48,-8.00026,6921,925
200449,17:26:44.561000,664,0,11.79988,-53,-8.00026,6858,925
200457,17:26:44.571000,757,0,11.79988,-51,-9.10637,7193,925
200465,17:26:44.581000,875,0,13.76653,-24,-9.2208,6880,925
200473,17:26:44.591000,1339,0,13.76653,-43,-8.57239,6882,925
200481,17:26:44.601000,863,0,15.73317,-34,-8.84892,6933,925
200489,17:26:44.611000,632,0,13.76653,-48,-8.52471,6871,925
200497,17:26:44.621000,886,0,13.76653,-55,-8.36261,7206,925
200505,17:26:44.631000,808,0,15.73317,-39,-9.18266,6880,925
200513,17:26:44.641000,582,0,13.76653,-53,-9.56408,6881,925
200521,17:26:44.651000,796,0,15.73317,-48,-9.27801,6944,925
200529,17:26:44.661000,199,0,15.73317,-55,-8.96334,6888,925
200537,17:26:44.671000,644,0,15.73317,-51,-9.20173,7215,925
200545,17:26:44.681000,617,0,15.73317,-48,-9.0873,6890,925
200553,17:26:44.691000,757,0,17.69982,-48,-9.74525,6887,925
200561,17:26:44.701000,761,0,17.69982,-62,-10.02178,6935,925
200569,17:26:44.711000,675,0,17.69982,-53,-9.5164,6867,925
200577,17:26:44.721000,488,0,17.69982,-55,-9.85014,7219,925
200585,17:26:44.731000,679,0,17.69982,-62,-9.86921,6886,925
200593,17:26:44.741000,730,0,19.66647,-31,-9.71664,6924,925
200601,17:26:44.751000,613,0,17.69982,-39,-10.39366,6951,925
200609,17:26:44.761000,671,0,17.69982,-36,-10.38413,6885,925
200617,17:26:44.771000,460,0,19.66647,-46,-10.07899,7220,925
200625,17:26:44.781000,1300,0,19.66647,-34,-10.16481,6926,925
200633,17:26:44.791000,691,0,19.66647,-39,-9.80246,6927,925
200641,17:26:44.801000,953,0,19.66647,-46,-10.16481,6987,925
200649,17:26:44.811000,1351,0,21.63311,-29,-10.4032,6894,925
200657,17:26:44.821000,828,0,23.59976,-39,-10.05039,7256,925
